158,3823981509,158005,63,0,0,829,0,-1,0,10,0,0,0,0,0,0,0,0
159,3823981510,159005,63,0,0,829,0,-1,0,10,0,0,0,0,0,0,0,0
160,3823981511,160005,63,0,0,829,0,0,0,10,0,0,0,0,0,0,0,0
161,3823981512,161005,63,0,0,829,0,-1,0,10,0,0,0,0,0,0,0,0
162,3823981513,162005,63,0,0,829,0,-1,0,10,0,0,0,0,0,0,0,0
163,3823981514,163005,63,0,0,829,0,-1,0,10,0,0,0,0,0,0,0,0
164,3823981515,164005,63,0,0,829,0,0,0,10,0,0,0,0,0,0,0,0
165,3823981516,165005,63,0,0,829,0,0,0,10,0,0,0,0,0,0,0,0
166,3823981517,166005,63,0,0,829,0,0,0,10,0,0,0,0,0,0,0,0
167,3823981518,167005,63,0,0,829,0,-1,0,10,0,0,0,0,0,0,0,0
168,3823981519,168005,63,0,0,829,0,-1,0,10,0,0,0,0,0,0,0,0
169,3823981520,169005,63,0,0,829,0,0,0,10,0,0,0,0,0,0,0,0
170,3823981521,170005,63,0,0,829,0,0,0,10,0,0,0,0,0,0,0,0
171,3823981522,171005,63,0,0,829,0,0,0,10,0,0,0,0,0,0,0,0
172,3823981523,172005,63,0,0,829,0,0,0,10,0,0,0,0,0,0,0,0
173,3823981524,173005,63,0,0,829,0,0,0,10,0,0,0,0,0,0,0,0
174,3823981525,174005,63,0,0,829,0,0,0,10,0,0,0,0,0,0,0,0
175,3823981526,175005,63,0,0,830,0,0,0,10,0,0,0,0,0,0,0,0
176,3823981527,176005,63,0,0,830,0,0,0,10,0,0,0,0,0,0,0,0
177,3823981528,177005,63,0,0,830,0,0,4,9,0,0,0,0,0,0,0,0
178,3823981529,178005,63,0,0,830,0,0,8,7,0,0,0,0,0,0,0,0
179,3823981530,179005,63,0,0,830,0,1,9,4,0,0,0,0,0,0,0,0
180,3823981531,180005,63,0,0,831,0,1,10,3,0,0,0,0,0,0,0,0
181,3823981532,181005,63,0,0,831,0,0,11,0,0,0,0,0,0,0,0,0
182,3823981533,182005,63,0,0,831,0,0,10,0,0,0,0,0,0,0,0,0
183,3823981534,183005,63,0,0,831,0,0,10,1,0,0,0,0,0,0,0,0
184,3823981535,184005,63,0,0,831,0,0,9,4,0,0,0,0,0,0,0,0
